Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_22 MA_63,-0.02254770752162875,1.1000705801332016,0.010293006238232373,84.0,3167.0,4936.0,0.0
MA_22 MA_64,-0.19953455824912705,1.1250324910748897,0.010441792639968344,86.0,3160.0,4936.0,0.0
MA_22 MA_65,-0.18937292436868994,0.9751414065192865,0.010474883694528049,82.0,3154.0,4936.0,0.0
MA_22 MA_66,-0.1893729243686906,0.9899095665005195,0.010474883694528049,82.0,3150.0,4936.0,0.0
MA_22 MA_67,-0.10737286899007294,0.6967637471878079,0.010496644554857963,80.0,3152.0,4936.0,0.0
MA_22 MA_68,-0.13885308012135508,0.6558865041175965,0.010471257819133186,78.0,3153.0,4936.0,0.0
MA_22 MA_69,-0.13885308012135433,0.696785941072045,0.010471257819133193,78.0,3146.0,4936.0,0.0
MA_22 MA_70,-0.05661435333377941,0.8074951484413158,0.010435159895965065,78.0,3147.0,4936.0,0.0
MA_22 MA_71,-0.05950974968294218,0.8178642046535209,0.010428494210745305,78.0,3145.0,4936.0,0.0
MA_22 MA_72,-0.05950974968294085,0.9328381387409967,0.010428494210745301,76.0,3148.0,4936.0,0.0
MA_22 MA_73,0.007928765915943927,1.1031857168407946,0.01041626700766193,72.0,3148.0,4936.0,0.0
MA_22 MA_74,0.00013791229005392797,1.0294445015896172,0.010415977045732614,72.0,3147.0,4936.0,0.0
MA_22 MA_75,-0.1448197483829147,0.6698180860004599,0.01041466982177149,78.0,3144.0,4936.0,0.0
MA_22 MA_76,-0.1448197483829141,0.6596374507288483,0.010414669821771487,76.0,3142.0,4936.0,0.0
MA_22 MA_77,-0.10417507817255774,0.6151862538091584,0.010405917219228848,78.0,3147.0,4936.0,0.0
MA_22 MA_78,-0.1498076970885307,0.5913820129172558,0.010394743072371811,80.0,3141.0,4936.0,0.0
MA_22 MA_79,-0.19498985104061375,0.5544026847970771,0.010383570159946587,80.0,3138.0,4936.0,0.0
MA_22 MA_80,-0.19498985104061184,0.6119397133392512,0.010383570159946582,80.0,3133.0,4936.0,0.0
MA_22 MA_81,-0.2696710056306035,0.8516619577620281,0.010352851363657942,78.0,3135.0,4936.0,0.0
MA_22 MA_82,-0.2514788647235153,0.7635103043885882,0.010360107796160235,82.0,3134.0,4936.0,0.0
MA_22 MA_83,-0.25147886472351455,0.7609910193157521,0.010360107796160239,82.0,3132.0,4936.0,0.0
MA_22 MA_84,-0.25147886472351455,0.9345611177850552,0.010360107796160239,80.0,3130.0,4936.0,0.0
MA_22 MA_85,-0.25147886472351616,0.9055754048861491,0.010360107796160228,82.0,3138.0,4936.0,0.0
MA_22 MA_86,-0.29616902736333434,0.9619882744264845,0.010348699248805077,78.0,3138.0,4936.0,0.0
MA_22 MA_87,-0.29616902736333606,1.1139217338080671,0.010348699248805085,80.0,3143.0,4936.0,0.0
MA_22 MA_88,-0.2961690273633364,1.135025514794985,0.010348699248805075,76.0,3140.0,4936.0,0.0
MA_22 MA_89,-0.2961690273633366,1.1747637607360537,0.010348699248805066,72.0,3138.0,4936.0,0.0
MA_22 MA_90,-0.31390430474165515,1.1758454458101726,0.010395882469684642,74.0,3142.0,4936.0,0.0
MA_22 MA_91,-0.3060215526303625,1.3746012200155673,0.010403442483743456,66.0,3154.0,4936.0,0.0
MA_22 MA_92,-0.04335930705754263,1.425868240433465,0.010529626560550641,66.0,3163.0,4936.0,0.0
MA_22 MA_93,-0.08392775706891811,1.5897870326259023,0.010537081972745997,64.0,3177.0,4936.0,0.0
MA_22 MA_94,-0.12250780318060446,1.6270046998302212,0.010545033744431486,64.0,3183.0,4936.0,0.0
MA_22 MA_95,-0.04022021230332183,1.69697058137774,0.01057503535755281,60.0,3200.0,4936.0,0.0
MA_22 MA_96,-0.040220212303323184,1.5227245494693586,0.010575035357552803,62.0,3206.0,4936.0,0.0
